CATEGORIA,DENSIDADCARGA,TIPO_INSTALACION,FECHA,HORA,INTERVALO,KWHD,KWHR,KVARHR,KVAHD,KVARH_LAG,KVARHR_1,KVARH_LEAD,PHASOR_KVAH,IA,IB,IC,AVG_IA_HARMONICS,AVG_IB_HARMONICS,AVG_IC_HARMONICS,VA,VB,VC,THD_VOLT_FASE_A,THD_VOLT_FASE_B,THD_VOLT_FASE_C,THD_CORRIENTE_FASE_A,THD_CORRIENTE_FASE_B,THD_CORRIENTE_FASE_C,KWD,KWR,KVARD,KVAD,NOMINAL_VOLTAGE_NVO,PT,CT,VA_DESV,VB_DESV,VC_DESV,IA_DESV,IB_DESV,IC_DESV,VOLTAJE_PROM,VOLTAJE_DESV_MAX,VOLTAJE_DESV_PORCENTAJE,CORRIENTE_PROM,CORRIENTE_DESV_MAX
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-19 19:45:00.000000 UTC,19,19:45,6.12,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.1,13332.1,13440.1,0.03,0.03,0.03,0.43,0.27,0.5,24.48,0.0,0.0,24.48,13198.61,14400:120,50:5,85.489999999999782,133.48999999999978,241.48999999999978,0.0,0.0,0.0,13352.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-18 22:00:00.000000 UTC,22,22:00,6.18,0.0,0.0,6.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13272.1,13332.1,13440.1,0.02,0.02,0.02,0.34,0.19,0.33,24.72,0.0,0.0,24.72,13198.61,14400:120,50:5,73.489999999999782,133.48999999999978,241.48999999999978,0.0,0.0,0.0,13348.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-19 19:30:00.000000 UTC,19,19:30,5.88,0.0,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.1,13332.1,13440.1,0.03,0.03,0.03,0.45,0.27,0.51,23.52,0.0,0.0,23.76,13198.61,14400:120,50:5,85.489999999999782,133.48999999999978,241.48999999999978,0.0,0.0,0.0,13352.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-23 03:45:00.000000 UTC,3,03:45,5.7,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13308.1,13368.1,13440.1,0.02,0.02,0.02,0.42,0.27,0.52,22.8,0.0,0.0,22.8,13198.61,14400:120,50:5,109.48999999999978,169.48999999999978,241.48999999999978,0.0,0.0,0.0,13372.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-09 00:00:00.000000 UTC,0,00:00,6.48,0.0,0.0,6.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13296.1,13356.1,13440.1,0.02,0.02,0.02,0.34,0.19,0.4,25.92,0.0,0.0,25.68,13198.61,14400:120,50:5,97.489999999999782,157.48999999999978,241.48999999999978,0.0,0.0,0.0,13364.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-30 03:15:00.000000 UTC,3,03:15,6.12,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13308.1,13368.1,13440.1,0.02,0.02,0.02,0.33,0.2,0.41,24.48,0.0,0.0,24.48,13198.61,14400:120,50:5,109.48999999999978,169.48999999999978,241.48999999999978,0.0,0.0,0.0,13372.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-30 03:30:00.000000 UTC,3,03:30,6.12,0.0,0.0,6.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13308.1,13356.1,13440.1,0.02,0.02,0.02,0.35,0.23,0.52,24.48,0.0,0.0,24.48,13198.61,14400:120,50:5,109.48999999999978,157.48999999999978,241.48999999999978,0.0,0.0,0.0,13368.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-17 01:15:00.000000 UTC,1,01:15,5.82,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13308.1,13368.1,13440.1,0.05,0.05,0.04,0.4,0.24,0.48,23.28,0.0,0.0,23.52,13198.61,14400:120,50:5,109.48999999999978,169.48999999999978,241.48999999999978,0.0,0.0,0.0,13372.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-12 19:30:00.000000 UTC,19,19:30,6.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13296.1,13332.1,13440.1,0.03,0.03,0.03,0.37,0.25,0.44,24.0,0.0,0.0,24.0,13198.61,14400:120,50:5,97.489999999999782,133.48999999999978,241.48999999999978,0.0,0.0,0.0,13356.1,241.48999999999978,0.018296623659612623,0.0,0.0
CLIENTE INDUSTRIAL,ALTA,PRIMARIA,2025-10-19 20:00:00.000000 UTC,20,20:00,5.88,0.0,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13284.1,13344.1,13440.1,0.03,0.03,0.03,0.5,0.42,0.76,23.52,0.0,0.0,23.52,13198.61,14400:120,50:5,85.489999999999782,145.48999999999978,241.48999999999978,0.0,0.0,0.0,13356.1,241.48999999999978,0.018296623659612623,0.0,0.0
